Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2020-04-30,Calgary,AB,Disk,<5 minutes,"At approximately 10:00pm, I spotted a large white light in the sky, it was very bright. I went outside to inspect it further and the li",2020-06-25,Canada,991432,51.05,-114.06,0
2020-04-21,Airdrie,AB,Chevron,10 seconds,"Very large silent Chevron boomerang shape moving north approximately 1500 mph no noise. Instant fear, checked family and went into base",2020-06-25,Canada,25863,51.3,-114.02,0
2020-04-18,Edmonton,AB,Light,4 minutes,"I saw 2 lights heading against one another, perhaps satellites.  ((Starlink satellites))",2020-05-01,Canada,831979,53.57,-113.54,2
2020-04-18,Calgary,AB,Formation,11 minutes,"18 consecutive lights, following a course, some swirling in a circular patterns.  ((Starlink satellites?))",2020-06-25,Canada,991432,51.05,-114.06,0
2020-04-18,Edmonton,AB,Triangle,5 seconds,"Triangular, no sound, no lights emitted, almost fully blended into the black night sky (no clouds to determine altitude )",2020-05-01,Canada,831979,53.57,-113.54,2
2020-04-15,Calgary,AB,Oval,15 minutes,"Large, fixed object to the west.",2020-06-25,Canada,991432,51.05,-114.06,0
2020-03-20,Calgary,AB,Triangle,2 minutes,"Triangle shape, no sound",2020-05-15,Canada,991432,51.05,-114.06,0
2020-03-15,Calgary,AB,Formation,4 hours,"In Calgary's north east skys from midnight till About 5am anywhere between 3 and 6 craft can be seen,  undulating,  shaking Irracticly,",2020-05-15,Canada,991432,51.05,-114.06,0
2020-02-26,Edmonton,AB,Other,4 minutes,"Boomerang shape, 12 red lights in back in groups of 4. Green and white in the front. Black body  ship. Moving very slow and no noise .",2020-04-09,Canada,831979,53.57,-113.54,2
2020-02-25,Edmonton,AB,Light,15 minutes,Bright light.,2020-04-09,Canada,831979,53.57,-113.54,2
2020-02-25,Calgary,AB,Unknown,90 seconds,"16 consecutive lights equidistant from each other.  ((""Spacelink"" satellites??))",2020-04-09,Canada,991432,51.05,-114.06,0
2020-02-23,Lacombe,AB,Triangle,3 minutes,My dad and his employee first seen this large triangle high up in altitude. It then dropped lower. That is when he called me outside to,2020-11-05,Canada,10177,52.47,-113.73,0
2020-02-18,Spruce Grove,AB,Light,4 minutes,"Bright green light that was stationary for a few moments, then started to move quickly back & forth, then when over us it turned red fo",2020-02-25,Canada,17976,53.53,-113.92,0
2020-02-03,Cochrane,AB,Triangle,15 seconds,"Grey pie shaped object hovering in sky, rotates, turns black, then disappears.",2020-02-13,Canada,17798,51.19,-114.47,0
2020-01-28,Okotoks,AB,Light,45 seconds,"Five lights equally separated and travelling in a line quite fast.  ((""Starlink"" satellites??))",2020-01-31,Canada,15734,50.72,-113.96,0
2020-01-26,Cochrane,AB,Unknown,8 minutes,"String on various lights on sky flying on straight line and disappearing one by one on the same spot.  ((""Starlink satellites??))",2020-01-31,Canada,17798,51.19,-114.47,0
2020-01-25,Red Deer,AB,Other,10 minutes,"Silent, no man baskets, no light, floating in a nortward direction over Red Deer AB about 5:20 PM Jan 25/20",2020-01-31,Canada,75099,52.27,-113.83,0
2020-01-01,Calgary,AB,Light,15 minutes,"We watched as a row of lights equal distance apart travelled across the sky and disappeared.  ((""Starlink"" satellites??))",2020-01-31,Canada,991432,51.05,-114.06,0
2019-12-29,Spruce Grove,AB,Light,5 minutes,"12 + lights flying in a straight line then dissapeared at the same spot.  ((""Starlink"" satellites??))",2020-02-07,Canada,17976,53.53,-113.92,0
2019-12-29,Cochrane,AB,Light,15 minutes,"Fleet of UFO's pass over Cochrane, Ab.  ((""Spacelink"" satellites??))",2020-02-07,Canada,17798,51.19,-114.47,0
2019-12-29,Edson,AB,Light,10 minutes,Evenly spaced lights in the night sky flying high over head looking like stars.No sounds kept coming over head from the tree line t,2020-02-07,Canada,8069,53.58,-116.42,0
2019-12-29,Mayerthorpe,AB,Light,5-10 minutes,"A single silent object with red and white flashing lights seen hovering above the treeline. Lasted 5-10 minutes while I was outside, wa",2020-02-07,Canada,1670,53.95,-115.14,0
2019-12-28,Calgary,AB,Light,2-3 minutes,"I noticed what appeared to be a satellite traveling/  ((""Starlink"" satellites??))",2020-02-07,Canada,991432,51.05,-114.06,0
2019-12-27,Wetaskiwin,AB,,5 minutes,We were travelling southbound on highway 2 just north of wetaskiwin and saw a bright white light pointed at us in the sky. As we travel,2020-02-07,Canada,11327,52.97,-113.38,0
2019-12-18,Cochrane,AB,Triangle,45 minutes,My friend and I saw many black triangles with flashing lights flying around us,2019-12-19,Canada,17798,51.19,-114.47,0
2019-12-05,High River,AB,Unknown,15 minutes,Line of Lights in the early morning sky.  ((NUFORC Note:  Possible Starlink satellites.  PD)),2019-12-19,Canada,9941,50.58,-113.87,0
2019-12-03,Red Deer,AB,Light,4 minutes,December 3rd 2019 7:04 a.m. .  ((NUFORC Note:  Starlink satellites?  PD)),2019-12-19,Canada,75099,52.27,-113.83,0
2019-12-02,Cochrane,AB,Triangle,3 minutes,A triangle shaped object with 3 glowing lights left a V shaped cloud before disappearing shortly after it was seen Southwest of Cochran,2019-12-19,Canada,17798,51.19,-114.47,0
2019-11-22,Wetaskiwin,AB,Light,10 minutes,"Slow fashing red lights with beam of light coming from the front, made no noise and then followed our vehicle for a bit.",2019-12-01,Canada,11327,52.97,-113.38,0
2019-11-22,Millet,AB,Chevron,30 minutes,We are 30km S/E of the Edmonton International  Airport. Nice evening. We let our dogs out and went with them to stargaze. We noticed re,2019-12-01,Canada,2167,53.08,-113.47,0
2019-11-15,Airdrie,AB,Sphere,1second,"2 round dull orange lights traveling one behind the other, same direction and speed above clouds.",2019-12-01,Canada,25863,51.3,-114.02,0
2019-11-10,Hinton,AB,Sphere,3 seconds,Dark green luminous object dropped outta atmosphere rapidly behind mountain,2019-12-01,Canada,10005,53.4,-117.58,0
2019-11-06,Edmonton,AB,Triangle,2 minutes,"11/06/19 19:25 Edmonton, AB Triangle 2 minutes UFO flying southwest 500 feet above the ground with white and red blinking lights",2019-12-01,Canada,831979,53.57,-113.54,2
2019-11-05,Wembley,AB,Circle,4 minutes,"While on security watch i seen a big green circle that lit up the field, beside the gravel road, it was travelling in a half circle, th",2019-12-01,Canada,1592,55.15,-119.15,0
2019-10-05,Airdrie,AB,Diamond,1 minute,A large diamond black craft was seen silently shoving above apartment complexes and slowly faded into nothing with numerous bright ligh,2019-12-01,Canada,25863,51.3,-114.02,0
2019-10-02,Hanna,AB,Light,5 seconds,"Large light flashed across sky very fast, too low to be a meteor and too fast to be a plane.",2019-12-01,Canada,3176,51.63,-111.92,0
2019-10-02,Calmar,AB,Light,>10 minutes,Bright light ascending directly upwards through the clouds then vanishing.,2019-10-04,Canada,2023,53.25,-113.78,0
NA,Edmonton,AB,Sphere,20 seconds,3 red orbs seen edmonton alberta canada,2019-09-19,Canada,831979,53.57,-113.54,2
2019-09-02,Calgary,AB,Formation,15-20 seconds,Lights that seemed to be stars in a formation of a triangle dimming out slowly one after the other.,2019-10-04,Canada,991432,51.05,-114.06,0
2019-08-25,Edmonton,AB,Formation,3 seconds,Cluster of star like objects moving with incredible speed,2019-09-06,Canada,831979,53.57,-113.54,2
2019-08-20,Calgary,AB,Circle,,5 lights flashing in a row equally spaced apart.  Went on for at least 15 minutes.,2020-01-31,Canada,991432,51.05,-114.06,0
2019-08-16,Calgary,AB,Diamond,60 minutes,"((HOAX))  The UFO flew over our local park and everyone freaked out, i documented everything.  ((anonymous report))",2019-08-23,Canada,991432,51.05,-114.06,0
2019-07-26,Calgary,AB,Unknown,5-10 minutes,Very very slow and very high bright light moving during the daytime overhead on Nosehill,2019-08-23,Canada,991432,51.05,-114.06,0
2019-07-19,Calgary,AB,Other,5 minutes,Bright bulb hovering over mountains,2019-07-25,Canada,991432,51.05,-114.06,0
2019-07-10,Edmonton,AB,Changing,60 seconds,"On July 10, 2019 I was leaving work and waiting for a cab when I noticed a bright white ball of light in the sky about 9:45pm.",2019-09-06,Canada,831979,53.57,-113.54,2
2019-07-10,Medicine Hat,AB,Cigar,Seconds,"Pyramidal cigar shaped object (with dome) flying rather low in the sky for an aircraft,  with no sound.",2019-07-25,Canada,65113,50.04,-110.69,0
2019-07-10,Grande Prairie,AB,Unknown,1 hour,Many blue dots moving without regard for acceleration or inertia.,2019-07-12,Canada,42712,55.18,-118.8,0
2019-05-27,Red Deer,AB,Light,15-20 seconds,"Approx 12 light traveling East , appearance similar to satelites at 1am over Red Deer , Alberta.  ((anonymous source))",2019-06-07,Canada,75099,52.27,-113.83,0
2019-05-26,Bonnyville,AB,Light,5 minutes,Bright lights following one another in a straight line across the sky.  ((NUFORC Note:  String of Space Link satellites.  PD)),2019-06-07,Canada,6073,54.27,-110.75,0
2019-05-20,Edmonton,AB,Disk,10 minutes,White/grey Disk UFO seen Floating above Edmonton,2019-06-07,Canada,831979,53.57,-113.54,2
2019-04-22,Whitecourt,AB,Triangle,2 seconds,"Almost triangle, translucent craft in focus for only a few seconds,  wow.  ((anonymous report))",2019-04-25,Canada,8865,54.13,-115.68,0
2019-04-18,Cochrane,AB,Light,>1 hour,I have a video with 2 different angles looks like a antenna but that is why I took 2 different positions,2020-02-07,Canada,17798,51.19,-114.47,0
2019-04-08,Sylvan Lake,AB,Light,3 seconds,"High-altitude white dot over Sylvan Lake, Alberta.  It did a curly que upwards and vanished.  3 second sighting.",2019-04-25,Canada,11327,52.31,-114.1,0
2019-04-03,Red Deer,AB,Triangle,5+ seconds,I was on my back deck when I caught sight of a triangular craft transparent in appearance but I could still distinguish its shape from,2019-04-08,Canada,75099,52.27,-113.83,0
2019-02-03,Spruce Grove,AB,Light,1 minute,It was a long yellow orange flash of light falling to earth.,2019-03-14,Canada,17976,53.53,-113.92,0
2019-01-28,High River,AB,Unknown,1 hour +,"Heli sound, low elev., circling. Red +green laser (?) light when viewed on approach. Long diamond rectangular. VERY dim but loud.",2019-02-01,Canada,9941,50.58,-113.87,0
2019-01-08,Calgary,AB,Unknown,2 minutes,Drone like UFO (No lights),2019-01-11,Canada,991432,51.05,-114.06,0
2019-01-01,Calgary,AB,Egg,7 minutes,White beam of light scanning me like a book during the day playing tennis with my daughter,2019-04-25,Canada,991432,51.05,-114.06,0
2018-12-07,Edmonton,AB,Light,Hours,"Bright light stationary, circling around in an orbit.",2018-12-14,Canada,831979,53.57,-113.54,2
2018-11-19,Edmonton,AB,Unknown,1 second,Bright white light but had grey circular shapes inside and was huge almost as big as the moon but close.  ((anonymous report)),2018-11-24,Canada,831979,53.57,-113.54,2
2018-10-16,Lethbridge,AB,Disk,5 minutes,My husband and I were walking home from work up in the sky we saw red lights lined up they were solid not blinking the object moved ver,2018-10-18,Canada,71390,49.69,-112.83,0
2018-08-20,Jasper,AB,Other,1 second,This sighting was by my phone not me. I was on vacation last year in the Rockie Mountains and took hundreds if not thousands of picture,2019-12-22,Canada,3953,52.88,-118.08,0
2018-08-20,Calgary,AB,Teardrop,15 minutes,Glowing stars scattered over Calgary Airport.,2018-08-22,Canada,991432,51.05,-114.06,0
2018-07-21,Lethbridge,AB,Light,2 minutes,A bright white light traveling slowly above my house no sound have pictures & video.  ((anonymous report)),2018-08-10,Canada,71390,49.69,-112.83,0
2018-07-15,Airdrie,AB,Triangle,4-5 seconds,Three lights in triangular formation. Swarmed by 3-5 singular lights moving at varying speeds and directions around triangular light.,2018-07-19,Canada,25863,51.3,-114.02,0
2018-07-13,Slave Lake,AB,Light,15 minutes,there was two small white light orbs floating in the sky and moving back and forth. They were floating above us and than would zip back,2020-06-25,Canada,7751,55.28,-114.78,0
2018-06-14,Calgary,AB,Circle,Night,"((HOAX??)) I was looking out my bedroom window, that's when I saw a floatng object, it was green and red.",2018-06-21,Canada,991432,51.05,-114.06,0
2018-05-07,Calgary,AB,Disk,20 minutes,((STUDENT REPORT??))  Creepy and unusual sighting at the local library.,2018-05-10,Canada,991432,51.05,-114.06,0
2018-05-05,Coaldale,AB,Unknown,4 seconds,Bright light shoots across the sky upward.,2018-05-10,Canada,6391,49.73,-112.62,0
2018-04-15,Canmore,AB,Light,3 seconds,Star emitted white light beam and rapidly changed direction.,2018-04-19,Canada,12834,51.09,-115.35,0
2018-03-31,Edmonton,AB,Circle,10 minutes,My son seen it first from our living room window. He said it looked like a meteor. I looked up and i thought it was the moon. He said b,2018-04-05,Canada,831979,53.57,-113.54,2
2018-01-21,Calgary,AB,Unknown,1 minute,"Buzzing UFO, not seen but heard.",2018-01-25,Canada,991432,51.05,-114.06,0
2017-12-14,Edmonton,AB,Other,2 hours,UFO with Vertical Cylinders revolving clockwise surrounded by 3 smaller UFOs,2017-12-21,Canada,831979,53.57,-113.54,2
2017-12-07,Lacombe,AB,Circle,<1 second,"Light in Lacombe, Alberta.",2017-12-08,Canada,10177,52.47,-113.73,0
2017-12-06,Edmonton,AB,Other,10-15 seconds,Work night shift and while on break at 0330 hours saw what I thought was a plane flying with no marker lights on and made absolutely no,2017-12-08,Canada,831979,53.57,-113.54,2
2017-11-20,Edmonton,AB,Disk,2 minutes,I was on a break at work and was standing in a parking lot in the University campus area. It was a clear sky with excellent visibility.,2017-11-22,Canada,831979,53.57,-113.54,2
2017-10-27,Athabasca,AB,Rectangle,4 seconds,One taller than the trees.  Brilliant gold shine cube and vanished no trace of anything.  ((anonymous report)),2017-11-09,Canada,2569,54.72,-113.27,0
2017-10-23,Wetaskiwin,AB,Triangle,3 seconds,Triangle over Alberta.  ((anonymous report)),2017-11-03,Canada,11327,52.97,-113.38,0
2017-10-16,Edmonton,AB,Disk,5 minutes,Wobbling disk UFO appears in sky travels westward for 5 minutes.,2017-10-19,Canada,831979,53.57,-113.54,2
2017-10-04,Edmonton,AB,Light,5 minutes and then 2 minu,Light orb flew over me on two occasions Oct. 4 2017. First time at 1940 from a West to East direction. No noise and continued East unti,2017-10-05,Canada,831979,53.57,-113.54,2
2017-10-03,Edmonton,AB,Light,50 minutes,This report is about a light orb that has flown over me about 6 or 7 times now. This report is unique from the others in that the orb d,2017-10-05,Canada,831979,53.57,-113.54,2
2017-09-27,Edmonton,AB,Sphere,2 minutes,Melon sized black solid orb flying through sky below clouds mayne 50 m in the air.,2017-10-05,Canada,831979,53.57,-113.54,2
2017-09-27,Banff,AB,Light,1 minute,Light with purplish ring.,2017-09-28,Canada,7590,51.17,-115.57,0
2017-09-17,Edmonton,AB,Circle,3-5 minutes,Circular glowing white craft travelling across sky makes impossible turn.,2017-10-05,Canada,831979,53.57,-113.54,2
2017-09-09,Lacombe,AB,Light,1 second,Bright flash of light in central Alberta.,2017-09-12,Canada,10177,52.47,-113.73,0
2017-09-04,Calgary,AB,Cone,3 seconds,"I'm security guard, during my patrol, i saw very bright ufo in the skyin…  ((anonymous report))",2017-09-05,Canada,991432,51.05,-114.06,0
2017-09-02,Calgary,AB,Changing,5 seconds,I reported this already.  I keep dreaming about it. y dream is always the same the small blue ball of light.  ((anonymous report)),2017-09-12,Canada,991432,51.05,-114.06,0
2017-09-02,Calgary,AB,Changing,5 seconds,Blue/White flat oval thing in sky at dusk.  ((anonymous report)),2017-09-05,Canada,991432,51.05,-114.06,0
2017-08-27,Calgary,AB,Other,45 seconds,Triangle UFO spotted at the University of Calgary,2017-09-05,Canada,991432,51.05,-114.06,0
2017-08-23,Barrhead,AB,Diamond,20 seconds,"Diamond shaped, red and blue lights, could see the shape of the craft as it was flying much lower than airplanes but it was black outsi",2017-08-24,Canada,4482,54.12,-114.4,0
2017-08-22,Airdrie,AB,Light,3,"Three lights (blue, red, white) flying from SE to NW of Airdrie, spaced 2 minutes apart with no sound.  ((anonymous report))",2017-08-24,Canada,25863,51.3,-114.02,0
2017-08-18,Edmonton,AB,Triangle,2 seconds,Solid red object.  Triangular.,2017-08-24,Canada,831979,53.57,-113.54,2
2017-08-11,Edmonton,AB,Other,2 hours,"15 minutes out of Edmonton, Alberta.",2017-08-17,Canada,831979,53.57,-113.54,2
2017-07-30,Lethbridge,AB,Chevron,2-3 seconds,"Seven or nine bright white perfectly round circles of light in a V formation, travelling N to S really fast, with no sound.",2017-08-04,Canada,71390,49.69,-112.83,0
2017-07-16,Pincher Creek,AB,Circle,~16 minutes,"A white object that slowly moved from side to side, it had a white hue and looked like a star in apperance, but moved quite weirdly.",2018-09-13,Canada,3900,49.48,-113.95,0
2017-06-16,Calgary,AB,Formation,6 minutes,"Craft moving in formation over SW Calgary, then performing aerial stunts",2017-06-22,Canada,991432,51.05,-114.06,0
2017-05-27,Edmonton,AB,Light,5 minutes,I first saw the light fly almost directly over our home as I was outside on porch at 23 55 hours. The solitary light or orb slowly cros,2017-06-22,Canada,831979,53.57,-113.54,2
2017-05-21,Calgary,AB,Circle,4 minutes,"2 orange circles fly overhead, before splitting up and disappearing.",2017-06-02,Canada,991432,51.05,-114.06,0
2017-05-13,Lethbridge,AB,Triangle,~50 minutes,White glowing triangle with 3 smaller glowing spheres.,2017-05-15,Canada,71390,49.69,-112.83,0
2017-05-10,Canmore,AB,Chevron,2 minutes,"Black, chevron-shape craft silently flew North east over Canmore Ab.",2017-05-11,Canada,12834,51.09,-115.35,0
2017-05-02,Edmonton,AB,Light,1 minutes,where are all the pictures....with everyone owning a cell phone these days....,2017-05-06,Canada,831979,53.57,-113.54,2
2017-04-29,Athabasca,AB,Disk,<5 seconds,"Saucer shape with 4 windows, not clear about the color",2017-05-06,Canada,2569,54.72,-113.27,0
2017-03-24,Leduc,AB,Triangle,10-25 minutes,"Two triangular aircrafts moving very hastily and quickly, one with a blinding light and the other with 3 lights in a triangular form.",2017-04-07,Canada,15682,53.26,-113.56,0
2017-02-26,Calmar,AB,Other,20 minutes,Mutiples of 3 green v shaped objects flying in green beam.,2017-06-02,Canada,2023,53.25,-113.78,0
2017-02-17,Edmonton,AB,Light,20 minutes,Strange Lights over Edmonton's northern skies [dusk].,2017-02-22,Canada,831979,53.57,-113.54,2
2017-01-13,Calgary,AB,Unknown,05.00,UFO follows jet while jet lands,2017-01-19,Canada,991432,51.05,-114.06,0
2016-12-18,Wetaskiwin,AB,Light,4 minutes,Bright Red Light Seen by Roommate and Myself in Northren sky moving West to East.,2016-12-21,Canada,11327,52.97,-113.38,0
2016-11-16,Banff,AB,Disk,10 minutes,Flying disk shape saucer seen over tunnel mountain in Banff.,2016-12-05,Canada,7590,51.17,-115.57,0
2016-11-13,Grande Prairie,AB,Light,4 seconds,"I went outside onto my deck.  A single light, very visible in the sky, travelled parallel to the horizon for no more than 4 seconds.  I",2016-12-05,Canada,42712,55.18,-118.8,0
2016-11-08,Edmonton,AB,Light,3-5  seconds,Very High Flash of Light.,2016-11-11,Canada,831979,53.57,-113.54,2
2016-10-10,Edmonton,AB,Sphere,5 seconds,"7 objects on video footage recorded with a drone during daytime full HD video available.  ((NUFORC Note:  Not ufos, we suspect?  PD))",2016-11-04,Canada,831979,53.57,-113.54,2
2016-09-15,Sundre,AB,Light,10 seconds,"Live about 25km west of Sundre, Alberta.  Never seen a UFO or reported same, so this is a first.   Walking down driveway, in a south ea",2016-09-22,Canada,2412,51.8,-114.65,0
2016-09-10,Jasper,AB,Fireball,20 minutes,UFO immobile then hovering the town of Jasper to disappear right over our car…,2016-09-30,Canada,3953,52.88,-118.08,0
2016-07-15,Edmonton,AB,Triangle,4-6 minutes,Triangle of pulsating lights (plus 2 below).  Lights appeared towards the tail end of the storm clouds.,2016-07-22,Canada,831979,53.57,-113.54,2
2016-07-10,Edmonton,AB,Egg,1 minute,"Watched 5 luminous balls, in triangle formation.",2016-07-22,Canada,831979,53.57,-113.54,2
2016-07-06,Grande Prairie,AB,Light,20 minutes,Glowing orb lights coming out of what looked like northern lights.,2016-07-15,Canada,42712,55.18,-118.8,0
2016-07-01,Lethbridge,AB,Light,15 minutes,"Red object with severe elevation changes and erratic movements during fireworks show in Lethbridge, Alberta.",2016-07-08,Canada,71390,49.69,-112.83,0
2016-05-05,Wetaskiwin,AB,Disk,,((HOAX??))  Flew over a school in wetaskiwin Alberta and was looking like it was going down.  ((anonymous report)),2016-05-06,Canada,11327,52.97,-113.38,0
2016-05-01,Camrose,AB,Triangle,5 seconds,3 lights in perfect triangle move fast from north to south in night sky.  ((anonymous report)),2016-05-06,Canada,15889,53.02,-112.84,0
2016-04-17,Calgary,AB,Triangle,:30,"Group of of triangular objects in a triangle formation passed from S to N over the W side of Calgary, AB.  ((anonymous))",2016-04-22,Canada,991432,51.05,-114.06,0
2016-04-14,Grande Prairie,AB,Light,15 minutes,"Bright light appears in the sky, and two lights shoot off of it in varying directions.",2016-04-15,Canada,42712,55.18,-118.8,0
2016-04-10,Calgary,AB,Formation,5-6 seconds,Luminious bird like objects crossing the sky.,2016-04-15,Canada,991432,51.05,-114.06,0
2016-01-30,Grande Prairie,AB,Light,1 hour,"Saw a blinking light in the sky, at first I thought it was a plane but then I noticed how it was moving.  ((NUFORC Note:  Sirius?  PD))",2016-02-04,Canada,42712,55.18,-118.8,0
2016-01-02,Whitecourt,AB,Flash,,"Quick, bright flash in the sky.",2016-01-05,Canada,8865,54.13,-115.68,0
2015-12-31,Grande Prairie,AB,Formation,3 minutes,6 objects in single file flying eastward over the South end of the city.,2016-01-05,Canada,42712,55.18,-118.8,0
2015-12-10,Edmonton,AB,Light,1 minute,"I was looking to see one again, and there it was.",2015-12-17,Canada,831979,53.57,-113.54,2
2015-11-28,Calgary,AB,Changing,3 minutes,"Cloud oddly changed formation, split in two and formed a light streak on a sunny, clear morning.",2015-12-03,Canada,991432,51.05,-114.06,0
2015-11-26,Edmonton,AB,Light,1 second,Bright white light appeared at top of atmosphere then beamed straight down towards the earth in a split second.,2017-03-10,Canada,831979,53.57,-113.54,2
2015-10-29,Edson,AB,Sphere,2 seconds,Large flash of light the looked like Saturn.,2015-11-06,Canada,8069,53.58,-116.42,0
2015-10-16,High Prairie,AB,Diamond,4 hours,"At first it looked like a star, moving crazy. i grabbed my binoculars and it was diamond shaped. ive never seen so many colors flash at",2015-10-16,Canada,2912,55.43,-116.48,0
2015-10-15,Edson,AB,Sphere,10 minutes,Flying object 3 lights red green and blue.,2015-10-16,Canada,8069,53.58,-116.42,0
2015-10-07,Calgary,AB,Light,2-5 seconds,Fast blue light or orb over Calgary.,2015-10-09,Canada,991432,51.05,-114.06,0
2015-10-07,Cochrane,AB,Triangle,20 seconds,UFO that appeared to look like two attached triangles facing downwards shooting through the sky,2015-11-26,Canada,17798,51.19,-114.47,0
2015-09-09,Edmonton,AB,Fireball,6 minutes,Large orange glowing orb over southeast Edmonton.,2015-09-11,Canada,831979,53.57,-113.54,2
2015-09-02,Mayerthorpe,AB,Sphere,10 minutes,On 2nd of  Sept. 2015  6 lights in the western sky at sunset .. they were in  a staggered formation. Direction North to South. Site,2015-09-11,Canada,1670,53.95,-115.14,0
2015-08-17,Edmonton,AB,Light,5 minutes,White light seen moving across the night sky,2015-08-27,Canada,831979,53.57,-113.54,2
2015-08-13,Olds,AB,Triangle,1-2 minutes,Silent moving gliding triangle craft outlined by what looked like ripples that were transparent,2015-08-27,Canada,7028,51.78,-114.1,0
2015-08-12,Bow Island,AB,Triangle,4-5 seconds,FAST low flying silent triangle.,2015-08-13,Canada,1813,49.87,-111.37,0
2015-08-04,Edmonton,AB,Other,30 seconds,"I saw this strange, what looked like a shaft with four wings coming off it sitting in the sky.  ((NUFORC Note:  Insect in flight.  PD))",2015-08-06,Canada,831979,53.57,-113.54,2
2015-07-29,Edmonton,AB,Light,2 minutes,"Witnessing three light objects above Edmonton, Alberta, Canada at 10:45 pm July 29, 2015.",2015-07-31,Canada,831979,53.57,-113.54,2
2015-07-20,Edmonton,AB,Circle,25,"Daylight sighting of multiple objects over Edmonton, AB-recorded on two devices by family at park.",2015-07-23,Canada,831979,53.57,-113.54,2
2015-07-20,Two Hills,AB,Light,30 minutes,"Me my sister and her two friends were having a campfire I am age 20 they are are 14-15, I was supervising them when I seen the first li",2015-07-23,Canada,1161,53.72,-111.75,0
2015-07-01,Calgary,AB,Light,1-2 minutes,"Saw a green star-like object hovering, then it shot off several kilometers in 1-2 seconds at an incredible speed, hovered & disapeared.",2015-07-03,Canada,991432,51.05,-114.06,0
2015-06-11,Drayton Valley,AB,,2 minutes,Driving on a rural road in drayton valley Alberta on Thursday june 11 at/or near midnight I was driving my friend to a remote house on,2015-06-15,Canada,6171,53.22,-114.98,0
2015-06-07,Olds,AB,Triangle,10 seconds,Two triangles flying in formation.,2015-06-15,Canada,7028,51.78,-114.1,0
2015-06-07,Edmonton,AB,Light,5 minutes,Group of 7 glowing amber lights flying  in the sky.,2015-06-15,Canada,831979,53.57,-113.54,2
2015-05-19,Calgary,AB,Light,30 seconds,Looked up at the night sky and saw two pinpoints of bright white light chasing each other very quickly through my line of vision.,2015-05-22,Canada,991432,51.05,-114.06,0
2015-05-18,Ponoka,AB,Unknown,2 hours 10 minutes,Saw a bright yellow light in the lower WNW sky last night for over 2 hours.,2015-05-22,Canada,6734,52.68,-113.57,0
2015-05-18,Ponoka,AB,Unknown,2 hours 10 minutes,"Some additional info for my report of May 19, 2015 observation by Ponoka, AB. Canada  NOT Venus.",2015-05-22,Canada,6734,52.68,-113.57,0
2015-05-13,Edmonton,AB,Triangle,3 minutes,"Seen “pods” of about 5-10 In each, small triangle shape that were very bright/white, and there were about five separate “pods” of them.",2020-08-20,Canada,831979,53.57,-113.54,2
2015-05-01,Spruce Grove,AB,Sphere,15 seconds,Big orange ball of light with glowing orb around the ball. (energy field),2015-05-08,Canada,17976,53.53,-113.92,0
